Stock,EntryDate,EntryPrice,Lot,Stop
GUNDG.IS,2026-03-02,490.735,3,523.6428571428571
EDATA.IS,2026-03-02,12.478690038204194,120,13.550714492797852
SARKY.IS,2026-03-02,35.593310916900634,42,29.418572562081472
KTLEV.IS,2026-03-02,37.43607106971741,40,39.49500138419015
BAHKM.IS,2026-03-02,116.67475,12,93.49285561697825
ALKLC.IS,2026-03-02,259.138125,5,234.13392857142856
BSOKE.IS,2026-03-02,28.863229694366456,52,26.43928493772234
